macro_region,country_or_region,successful_sources,source_classes,protocols
Africa,Algeria,4,library:3; art gallery:1,(none detected):2; RSS/Atom;JSON-LD;WordPress REST:2
Africa,Angola,1,museum:1,(none detected):1
Africa,Benin,3,museum:3,(none detected):2; RSS/Atom;JSON-LD;WordPress REST;PDF:1
Africa,Botswana,1,art gallery:1,RSS/Atom;JSON-LD;WordPress REST:1
Africa,Cameroon,2,art gallery:1; museum:1,RSS/Atom;WordPress REST;Static JS App:1; (none detected):1
Africa,Cape Verde,2,museum:1; library:1,RSS/Atom;JSON-LD;WordPress REST;PDF:1; RSS/Atom;JSON-LD;WordPress REST:1
Africa,Chad,1,cultural center:1,(none detected):1
Africa,Cote d'Ivoire,1,cultural center:1,RSS/Atom;JSON-LD;WordPress REST:1
Africa,DR Congo,1,cultural center:1,RSS/Atom;JSON-LD;WordPress REST:1
Africa,Ethiopia,1,library:1,JSON-LD;PDF:1
Africa,Gabon,1,library:1,RSS/Atom;WordPress REST:1
Africa,Ghana,7,library:6; art gallery:1,RSS/Atom;JSON-LD;WordPress REST;PDF:2; RSS/Atom;WordPress REST;Static JS App:1; Static JS App:1; IIIF;RSS/Atom;JSON-LD;WordPress REST:1; JSON-LD;WordPress REST:1; (none detected):1
Africa,Guinea,1,cultural center:1,RSS/Atom;JSON-LD;WordPress REST:1
Africa,Kenya,5,library:3; museum:2,(none detected):2; RSS/Atom;JSON-LD;WordPress REST;PDF:2; RSS/Atom;JSON-LD;WordPress REST:1
Africa,Malawi,1,library:1,RSS/Atom;JSON-LD;WordPress REST;Static JS App:1
Africa,Mali,1,cultural center:1,RSS/Atom;JSON-LD;WordPress REST:1
Africa,Mauritius,5,museum:2; cultural center:1; archives:1; library:1,RSS/Atom;JSON-LD;WordPress REST;Static JS App;PDF:2; (none detected):1; RSS/Atom:1; RSS/Atom;JSON-LD;WordPress REST;Static JS App:1
Africa,Mozambique,3,archives:1; museum:1; art gallery:1,RSS/Atom;JSON-LD;WordPress REST;PDF:1; RSS/Atom;JSON-LD;WordPress REST:1; WordPress REST;Static JS App:1
Africa,Namibia,1,art gallery:1,RSS/Atom;WordPress REST;Static JS App:1
