capture_uid,capture_id,capture_file,source_name,source_identifier,source_title,period_band,image_state,source_reading_text_length,all_context_text_length,completeness_proxy,group_count,primary_group_id,primary_relation_label,primary_group_action,recommended_disposition,disposition_reason,requires_group_review
capture_batch_001_records.csv:ECAP001,ECAP001,capture_batch_001_records.csv,Art Institute of Chicago API,7962,Buy a Little Present for the Kaiser,pre_1930,IMG00,0,0,86,6,SRLG0186,same_entity_confirmed,deduplicate_or_merge_source_records,dedupe_child_record,same source record/identifier should attach to canonical source register,true
capture_batch_001_records.csv:ECAP002,ECAP002,capture_batch_001_records.csv,Art Institute of Chicago API,10429,La Gismonda (Sarah Bernhardt),pre_1930,IMG03,0,0,96,4,SRLG0176,same_entity_confirmed,deduplicate_or_merge_source_records,subsheet_visual,strong metadata/image but too little source-reading text for main sheet,false
capture_batch_001_records.csv:ECAP003,ECAP003,capture_batch_001_records.csv,Art Institute of Chicago API,111986,"Zodiaque (""La Plume"")",pre_1930,IMG03,0,0,96,5,SRLG0177,same_entity_confirmed,deduplicate_or_merge_source_records,dedupe_child_record,same source record/identifier should attach to canonical source register,true
capture_batch_001_records.csv:ECAP004,ECAP004,capture_batch_001_records.csv,Art Institute of Chicago API,7933,To the Amputees—Join the Workforce,pre_1930,IMG00,0,0,86,5,SRLG0184,same_entity_confirmed,deduplicate_or_merge_source_records,dedupe_child_record,same source record/identifier should attach to canonical source register,true
capture_batch_001_records.csv:ECAP005,ECAP005,capture_batch_001_records.csv,Art Institute of Chicago API,7955,Keep These Off the U.S.A.,pre_1930,IMG00,0,0,86,6,SRLG0185,same_entity_confirmed,deduplicate_or_merge_source_records,dedupe_child_record,same source record/identifier should attach to canonical source register,true
capture_batch_001_records.csv:ECAP006,ECAP006,capture_batch_001_records.csv,Art Institute of Chicago API,122394,1952 Exhibition Poster,1930_1970,IMG00,0,0,86,5,SRLG0178,same_entity_confirmed,deduplicate_or_merge_source_records,dedupe_child_record,same source record/identifier should attach to canonical source register,true
capture_batch_001_records.csv:ECAP007,ECAP007,capture_batch_001_records.csv,Art Institute of Chicago API,185124,This Is the Enemy,1930_1970,IMG00,0,0,86,5,SRLG0180,same_entity_confirmed,deduplicate_or_merge_source_records,dedupe_child_record,same source record/identifier should attach to canonical source register,true
capture_batch_001_records.csv:ECAP008,ECAP008,capture_batch_001_records.csv,Art Institute of Chicago API,229396,"Barack Obama ""Hope"" Poster",2000_2026,IMG00,0,0,80,0,,,,appendix_or_text_sheet,medium completeness; use appendix plus text sheet treatment,false
capture_batch_001_records.csv:ECAP009,ECAP009,capture_batch_001_records.csv,Art Institute of Chicago API,7974,Invest in the Victory Liberty Loan,pre_1930,IMG00,0,0,86,6,SRLG0187,same_entity_confirmed,deduplicate_or_merge_source_records,dedupe_child_record,same source record/identifier should attach to canonical source register,true
capture_batch_001_records.csv:ECAP010,ECAP010,capture_batch_001_records.csv,Art Institute of Chicago API,182948,An Attempt Using Unfit Means,1930_1970,IMG00,0,0,86,6,SRLG0179,same_entity_confirmed,deduplicate_or_merge_source_records,dedupe_child_record,same source record/identifier should attach to canonical source register,true
capture_batch_001_records.csv:ECAP011,ECAP011,capture_batch_001_records.csv,Art Institute of Chicago API,55093,The Modern Poster,pre_1930,IMG00,0,0,86,5,SRLG0183,same_entity_confirmed,deduplicate_or_merge_source_records,dedupe_child_record,same source record/identifier should attach to canonical source register,true
capture_batch_001_records.csv:ECAP012,ECAP012,capture_batch_001_records.csv,Art Institute of Chicago API,192364,Untitled,1930_1970,IMG00,0,0,86,5,SRLG0181,same_entity_confirmed,deduplicate_or_merge_source_records,dedupe_child_record,same source record/identifier should attach to canonical source register,true
capture_batch_001_records.csv:ECAP013,ECAP013,capture_batch_001_records.csv,Art Institute of Chicago API,192373,Our One-Thousandth Blow,1930_1970,IMG00,0,0,86,6,SRLG0182,same_entity_confirmed,deduplicate_or_merge_source_records,dedupe_child_record,same source record/identifier should attach to canonical source register,true
capture_batch_001_records.csv:ECAP014,ECAP014,capture_batch_001_records.csv,Art Institute of Chicago API,8872,No. 2 Spring,1930_1970,IMG00,0,0,86,5,SRLG0189,same_entity_confirmed,deduplicate_or_merge_source_records,dedupe_child_record,same source record/identifier should attach to canonical source register,true
capture_batch_001_records.csv:ECAP015,ECAP015,capture_batch_001_records.csv,Art Institute of Chicago API,82287,"Moulin Rouge, La Goulue",pre_1930,IMG03,0,0,96,6,SRLG0188,same_entity_confirmed,deduplicate_or_merge_source_records,dedupe_child_record,same source record/identifier should attach to canonical source register,true
capture_batch_001_records.csv:ECAP016,ECAP016,capture_batch_001_records.csv,Cleveland Museum Open Access API,1950.455,Yvette Guilbert,pre_1930,IMG03,0,0,96,0,,,,subsheet_visual,strong metadata/image but too little source-reading text for main sheet,false
capture_batch_001_records.csv:ECAP017,ECAP017,capture_batch_001_records.csv,Cleveland Museum Open Access API,1934.29,Virgin and Child,undated_or_unparsed,IMG03,0,0,96,0,,,,subsheet_visual,strong metadata/image but too little source-reading text for main sheet,false
capture_batch_001_records.csv:ECAP018,ECAP018,capture_batch_001_records.csv,Cleveland Museum Open Access API,1968.257,Poster for the Lembrée Gallery,pre_1930,IMG03,0,0,96,4,SRLG0192,same_entity_confirmed,deduplicate_or_merge_source_records,subsheet_visual,strong metadata/image but too little source-reading text for main sheet,false
capture_batch_001_records.csv:ECAP019,ECAP019,capture_batch_001_records.csv,Cleveland Museum Open Access API,1952.10,May Milton,pre_1930,IMG03,0,0,96,4,SRLG0191,same_entity_confirmed,deduplicate_or_merge_source_records,dedupe_child_record,same source record/identifier should attach to canonical source register,true
capture_batch_001_records.csv:ECAP020,ECAP020,capture_batch_001_records.csv,Cleveland Museum Open Access API,1986.136,Sculptress,pre_1930,IMG03,0,0,96,4,SRLG0193,same_entity_confirmed,deduplicate_or_merge_source_records,dedupe_child_record,same source record/identifier should attach to canonical source register,true
capture_batch_001_records.csv:ECAP021,ECAP021,capture_batch_001_records.csv,Cleveland Museum Open Access API,1966.352,Bill Poster,pre_1930,IMG03,0,0,96,0,,,,subsheet_visual,strong metadata/image but too little source-reading text for main sheet,false
